text,cleaned_text,label,split,post_id
he said bro even your texts sound redneck whatever the fuck that means 😂 🤷 🏻 ‍ ♂️ <user>,said bro even text sound redneck whatever fuck mean user,General,train,1179102559241244672_twitter
i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,live work many legal mexican immigrant great citizen trump supporter problem deporting illegals maga,Hispanic,train,18790322_gab
<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,user user shd film called hindu kashmir wud perfect islamic fanaticsm movement kashmir,Muslim/Arab,train,1113705567782969344_twitter
jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,jew defends jew regardless muslim defend muslin regardless christian european attack christian christian people jew muslim another home ffs people understand difficult,Jewish,train,24555628_gab
got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,got couple company boycott christmas season first one ford got several number ad featuring blip length shot white men white woman becoming norm defile white man drive woman hand,White,train,16323644_gab
people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,people going blame white nationalist happened initially peaceful antifa showed happened yesterday result political correctness left legitimising political violence establishment leftist condemn antifa number number,White,train,10672407_gab
you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,completely correct without communication break leading distortion misrepresentation serious problem among white male failed learn language effectively,White,train,16953323_gab
caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,caucasian wearing mask prevent coronavirus still wash hand,Asian,train,1225661082083024897_twitter
<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,user besudes guilt saviour complex among white reached alarming level want save indian girl raped rate sexual assault country significantly higher,White,train,1179015546890784768_twitter
nigger faggot retard beaner dishwasher time to see if i get ban,nigger faggot retard beaner dishwasher time see get ban,African,train,1177990839177490432_twitter
why don ’ t white boys with curly hair comb it looks like a bird ’ nest,white boy curly hair comb look like bird nest,White,train,1126676847171907585_twitter
blow a stack for yo niggas with yo trapping ass,blow stack nigga trapping as,African,train,1178422453749604364_twitter
<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,user yes put fear black people jew even white civil right worker deny holocaust ever happened,Jewish,train,1146139541805228032_twitter
they playing a lot of ethnic music at this white ass wedding,playing lot ethnic music white as wedding,White,train,1178491915894956033_twitter
that a retarded non argument the bible is also a best seller in communist china,retarded non argument bible also best seller communist china,General,train,21760024_gab
every time a nigger in africa gets pregnant abort it make it a law you can about up to <number> years,every time nigger africa get pregnant abort make law number year,African,train,24649974_gab
nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend,nothing royal wedding bastard nignog halfbreed thot divorced catholic boot notable father bride father groom attend,General,train,26012116_gab
what sort of white man or woman would vote for this nigger,sort white man woman would vote nigger,African,train,15062597_gab
im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,literally zionist dear lord hard recognize people genuinely despise jew,Jewish,train,1211444261935288320_twitter
stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off,stupid nigger given grade admissioin school job degree position never earned doesnt fuck,African,train,18121370_gab
<user> humor negro 😂 😂 😂 😂 😂,user humor negro,African,train,1079140690200854528_twitter
bump dis nigger,bump dis nigger,African,train,15716977_gab
how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs,pissed japanese chinese korean know real asian goat fucker called asian avoid calling arab,Asian,train,20836997_gab
i ’ ve always wanted to beat up a nigga in front of his child so the child can grow up and remember it forever,always wanted beat nigga front child child grow remember forever,African,train,1191835760376332288_twitter
they used to have cracker and honky now they have antiracist them to us racist us and nazi does this mean i can say nigger faggot kike sandnigger and spic again fuck you anti white scum 😬,used cracker honky antiracist racist nazi mean say nigger faggot kike sandnigger spic fuck anti white scum,White,train,13517786_gab
this nigger calling me juicy lips over the phone wtf,nigger calling juicy lip phone wtf,African,train,1178780987049889794_twitter
a nigger bich will never have strait hair so keep wearing dat horsehair weave,nigger bich never strait hair keep wearing dat horsehair weave,African,train,27287978_gab
apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach,apparently vile nigger animal kidnapped white special need teen tortured scalped shouting fuck white people fuck trump armed shooting head zombie approach,African,train,3654285_gab
<user> you need potassium eat a banana you fucking nigger,user need potassium eat banana fucking nigger,African,train,1179012930681085952_twitter
well then send some coon estrogen to my wife she turning more liberal breath by breath due to fake news i do not know how much more i can take hell between her and my two daughters hormones i have started growing breast tissue like pseudo naturally becoming bruce jenner,well send coon estrogen wife turning liberal breath breath due fake news know much take hell two daughter hormone started growing breast tissue like pseudo naturally becoming bruce jenner,General,train,5695445_gab
i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling,guess nigger mudshark unaware merchant hilarious trolling,African,train,7047490_gab
the pentagon is like a street nigger constantly bumming cigarettes spare change,pentagon like street nigger constantly bumming cigarette spare change,African,train,26036512_gab
<user> agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor,user agree ananya baby every hindu muslim sikh isai travel economy class sonam kapoor,Muslim/Arab,train,1164801468286660610_twitter
the nigger is a true snake charmer,nigger true snake charmer,African,train,16135672_gab
ben is cool but he is still a nigger,ben cool still nigger,African,train,19085590_gab
imagine the riots if people actually got food boxes instead of ebt cards every ghetto in america would look like ferguson,imagine riot people actually got food box instead ebt card every ghetto america would look like ferguson,General,train,19795578_gab
first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate,first save white bitch sucking many black cock giving birth mixed baby one threatening existence retarded degenerate,African,train,23100454_gab
